id,category,expected_type,message
spam-premio-014,premios_sorteos,spam,"Aviso de sorteo: Tu participación gratuita te ha otorgado 500€ de crédito para compras online. Entra en https://premios-club.info/canjear"
spam-premio-015,premios_sorteos,spam,"¡Enhorabuena! Has ganado un fin de semana en un Parador Nacional con cena gourmet. Responde VIAJE para recibir los billetes."
spam-premio-016,premios_sorteos,spam,"Estimado cliente, ha sido agraciado con 2.000€ en el sorteo de telefonía móvil de España. Llame al 807303030 para gestionar la entrega."
spam-premio-017,premios_sorteos,spam,"Tu tarjeta regalo de 100€ de Zara está lista para ser enviada a tu domicilio. Confirma tus datos de entrega en https://moda-premios.online/zara"
spam-premio-018,premios_sorteos,spam,"¡Sorteo Flash! Has sido elegido para probar gratis la nueva PlayStation 5 y quedártela. Rellena el formulario en https://tester-tech.com/ps5"
spam-premio-019,premios_sorteos,spam,"Felicidades, tu número móvil ha ganado una cesta de Navidad valorada en 400€. Para rechazar o aceptar responde ACEPTAR al 21550."
spam-premio-020,premios_sorteos,spam,"Tu premio de fidelidad de 1.500€ está retenido a la espera de confirmación del beneficiario. Haz clic en https://fondos-recompensas.top/pago"
spam-oferta-021,ofertas_comerciales,spam,"Rebajas de verano: Hasta un 70% de descuento en toda la colección de ropa y calzado. Usa el cupón VERANO70 en https://tienda-ofertas.com. Baja al 2200."
spam-oferta-022,ofertas_comerciales,spam,"Gran liquidación por cierre: Todos los electrodomésticos y televisores a mitad de precio solo este fin de semana. Entra en https://liquidaciones-hogar.es"
spam-oferta-023,ofertas_comerciales,spam,"Oferta exclusiva para ti: Contrata fibra 1Gbps + 2 líneas móviles por solo 19,90€/mes para siempre. Llama gratis al 900800700. Baja: envia NO."
spam-oferta-024,ofertas_comerciales,spam,"Descuento del 40% en tu próxima compra en nuestra tienda online. Introduce el código PROMO40 al pagar. Oferta válida hasta medianoche."
spam-oferta-025,ofertas_comerciales,spam,"¡Solo hoy! 2x1 en todos los perfumes de marca y cosmética de lujo. Gastos de envío gratis en compras superiores a 30€. Visita https://perfumeria-descuentos.com"
spam-oferta-026,ofertas_comerciales,spam,"Promoción especial: Renueva tu colchón viscoelástico con un 60% de descuento y llévate 2 almohadas de regalo. Infórmate en https://descanso-ofertas.net"
spam-oferta-027,ofertas_comerciales,spam,"Ahorra un 30% en tu factura de la luz cambiando a nuestra tarifa plana garantizada por 3 años. Consulta tu ahorro en https://energia-ahorro.online"
spam-oferta-028,ofertas_comerciales,spam,"Rebajas Flash: Zapatillas de primeras marcas desde 19,99€. Unidades muy limitadas. Compra antes de que se agoten en https://deportes-outlet.shop"
spam-oferta-029,ofertas_comerciales,spam,"Últimos días de la semana del automóvil: Llévate un coche seminuevo con hasta 3.000€ de descuento y financiación al 0%. Solicita cita en https://auto-gangas.com"
spam-oferta-030,ofertas_comerciales,spam,"Super oferta en cursos online certificados: Máster profesional con 85% de beca solo para las 20 primeras matrículas. Inscríbete en https://formacion-becas.org"
spam-oferta-031,ofertas_comerciales,spam,"Aprovecha nuestro cupón del 25% para tu cena este viernes en restaurantes asociados. Código: CENA25. Descarga la app en https://restaurantes-promo.com"
spam-oferta-032,ofertas_comerciales,spam,"Oferta especial de telefonía: Portabilidad con smartphone 5G gratis y gigas ilimitados sin permanencia. Responde OFERTA al 2170."
spam-oferta-033,ofertas_comerciales,spam,"Descuentos de hasta el 50% en gafas graduadas y de sol de diseñador. Reserva tu revisión visual gratuita en https://optica-descuentos.es"
spam-oferta-034,ofertas_comerciales,spam,"Promoción Black Friday anticipado: Descuentos irrepetibles en telefonía, ordenadores y consolas. Mira el catálogo en https://tecnologia-rebajas.com"
spam-oferta-035,ofertas_comerciales,spam,"Viaja barato este otoño: Vuelos nacionales desde 9,99€ y escapadas de hotel al 50%. Reserva hoy en https://viajes-express.info. Para no recibir escribe BAJA."
spam-prestamo-036,prestamos_creditos,spam,"Dinero urgente: Préstamo preconcedido de 500€ a 5.000€ sin aval, sin nómina y en tu cuenta en 10 minutos. Solicítalo en https://dinero-rapido24.com"
spam-prestamo-037,prestamos_creditos,spam,"Tu solicitud de crédito rápido por importe de 3.000€ ha sido aprobada provisionalmente. Completa el trámite en https://creditos-inmediatos.net/solicitud"
spam-prestamo-038,prestamos_creditos,spam,"Mini préstamo de 300€ al 0% de interés en tu primer crédito. Sin preguntas ni comisiones ocultas. Pídelo en https://prestamos-ya.org"
spam-prestamo-039,prestamos_creditos,spam,"Financiación inmediata: Consigue hasta 10.000€ para lo que necesites incluso estando en listas de morosos (ASNEF). Entra en https://soluciones-asnef.com"
spam-prestamo-040,prestamos_creditos,spam,"Aviso financiero: Tienes disponible una línea de crédito flexible de 2.500€ lista para transferir a tu cuenta. Confirma en https://linea-directa-credito.com"
spam-prestamo-041,prestamos_creditos,spam,"¿Necesitas dinero extra este mes? Te prestamos hasta 800€ con devolución en 60 días. Respuesta inmediata en https://anticipo-nomina24.com"
spam-prestamo-042,prestamos_creditos,spam,"Préstamos personales con intereses mínimos desde el 3,95% TIN. Compara y elige la mejor oferta en 2 minutos en https://comparador-prestamos.site"
spam-prestamo-043,prestamos_creditos,spam,"Reunifica todas tus deudas y paga hasta un 60% menos al mes en una sola cuota reducida. Estudio gratuito sin compromiso en https://reunificacion-deudas.es"
spam-prestamo-044,prestamos_creditos,spam,"Tu microcrédito de 600€ está pendiente de aceptación final. Solo necesitas tu DNI y número de cuenta. Finaliza en https://prestamo-urgente.top"
spam-prestamo-045,prestamos_creditos,spam,"Dinero al instante para autónomos y particulares: Créditos de hasta 15.000€ aprobados en menos de 24 horas. Solicita en https://capital-privado-express.com"
spam-prestamo-046,prestamos_creditos,spam,"Préstamo preconcedido especial: Disfruta de 1.200€ al instante sin aportar justificante de ingresos. Accede a https://credito-facil.biz"
spam-prestamo-047,prestamos_creditos,spam,"Liquidez inmediata garantizada avalando tu vehículo sin dejar de conducirlo. Consigue hasta el 80% de su valor en https://empeno-coches.net"
spam-prestamo-048,prestamos_creditos,spam,"Crédito al 0% TAE: Primeros 400€ sin intereses para nuevos clientes durante este mes. Regístrate en https://primer-prestamo-gratis.com"
spam-prestamo-049,prestamos_creditos,spam,"Solicita hoy tu tarjeta de crédito con límite de 3.000€ y pago aplazado sin cambiar de banco. Pídela en https://tarjetas-credito-express.com"
spam-prestamo-050,prestamos_creditos,spam,"Cancelamos tus deudas legalmente mediante la Ley de Segunda Oportunidad. Consulta si cumples los requisitos gratis en https://ley-segunda-oportunidad.info"
spam-casino-051,casinos_apuestas,spam,"Bono exclusivo de bienvenida: Deposita 10€ y juega con 100€ + 100 giros gratis en slots seleccionadas. Regístrate en https://casino-bonos.top"
spam-casino-052,casinos_apuestas,spam,"Te regalamos 20€ gratis sin depósito para apostar en los partidos de La Liga este fin de semana. Reclama tu bono en https://apuestas-gratis.club"
spam-casino-053,casinos_apuestas,spam,"Duplicamos tu primer depósito hasta 500€ en Casino Royal. Ruleta en vivo y más de 1.000 tragaperras. Juega ahora en https://casino-royal-promo.com"
spam-casino-054,casinos_apuestas,spam,"Gana a lo grande: Jackpots millonarios acumulados listos para caer. Juega con 50 tiradas gratuitas en https://mega-jackpots.site"
spam-casino-055,casinos_apuestas,spam,"Supercuota mejorada: El Real Madrid gana a cuota 15.0 en tu primera apuesta combinada. Aprovecha la promoción en https://cuotas-top.org"
spam-casino-056,casinos_apuestas,spam,"Tu cuenta de juego tiene 10€ de saldo de regalo esperando ser activados. Entra antes de 48h en https://saldo-regalo-casino.com"
spam-casino-057,casinos_apuestas,spam,"Torneo semanal de Poker con 50.000€ en premios garantizados. Entrada gratuita para nuevos usuarios en https://poker-torneos-online.net"
spam-casino-058,casinos_apuestas,spam,"Vuelve la emoción del bingo online: Compra 1 cartón y llévate 3 gratis en todas las salas de https://bingo-premios.es"
spam-casino-059,casinos_apuestas,spam,"Bono sin rollover: Todo lo que ganes con tus 25 tiradas gratis va directo a tu saldo retirable. Entra en https://bonos-limpios-casino.com"
spam-casino-060,casinos_apuestas,spam,"Apuesta 10€ en la Champions League y si fallas te devolvemos el 100% de tu dinero en freebets. Únete en https://apuestas-seguras.biz"
spam-encuesta-061,encuestas_vales,spam,"Gana hasta 300€ al mes rellenando encuestas de opinión desde tu casa en tus ratos libres. Regístrate gratis en https://encuestas-pagadas.org"
spam-encuesta-062,encuestas_vales,spam,"Buscamos consumidores en tu ciudad para opinar sobre nuevos productos y ganar cheques de 50€ de Mercadona. Apúntate en https://panel-consumo.com"
spam-encuesta-063,encuestas_vales,spam,"Completa nuestra breve encuesta de 2 minutos sobre hábitos de compra y recibe un vale directo de 20€ de Amazon en https://encuesta-premios.club"
spam-encuesta-064,encuestas_vales,spam,"Participa en nuestro panel de investigación de mercado y canjea tus puntos por dinero en PayPal o tarjetas regalo. Inscríbete en https://panel-opiniones.net"
spam-encuesta-065,encuestas_vales,spam,"Queremos conocer tu opinión sobre servicios de streaming. Por participar entrarás en el sorteo de 10 suscripciones anuales en https://estudio-streaming.com"
spam-encuesta-066,encuestas_vales,spam,"Tu perfil ha sido seleccionado para participar en el estudio nacional de telecomunicaciones. Recompensa de 40€ por sesión en https://estudios-opinion.es"
spam-encuesta-067,encuestas_vales,spam,"Prueba productos de alimentación en casa y danos tu valoración. Te enviamos las muestras gratis + 25€ por test en https://probadores-productos.site"
spam-encuesta-068,encuestas_vales,spam,"Responde 5 preguntas sobre tu supermercado habitual y consigue un cupón de 15€ de descuento directo en https://cuestionario-super.top"
spam-encuesta-069,encuestas_vales,spam,"Colabora en la encuesta europea de movilidad urbana y gana una tarjeta prepago de 50€. Participa en https://movilidad-estudio.org"
spam-encuesta-070,encuestas_vales,spam,"Tu opinión tiene premio: Valora anuncios de televisión y acumula saldo transferible a tu cuenta bancaria en https://valora-anuncios.com"
spam-empleo-071,empleo_cripto,spam,"Trabaja desde casa con tu móvil: Gana entre 150€ y 400€ al día valorando hoteles y restaurantes en Google. Contacta por WhatsApp en https://wa.me/34600112233"
spam-empleo-072,empleo_cripto,spam,"Buscamos personal para empaquetar productos de papelería en su domicilio. Sueldo de 1.800€/mes sin experiencia previa. Información en https://empleo-casa24.com"
spam-empleo-073,empleo_cripto,spam,"Invierte 250€ en nuestro algoritmo automatizado de criptomonedas y genera ingresos pasivos de más de 1.000€ semanales. Empieza en https://crypto-ganancias.top"
spam-empleo-074,empleo_cripto,spam,"Oferta de teletrabajo a tiempo parcial: Solo necesitas 2 horas al día para procesar pedidos online. Salario fijo + comisiones en https://trabajos-remotos.biz"
spam-empleo-075,empleo_cripto,spam,"Descubre el método secreto para ganar dinero con trading de divisas e inteligencia artificial. Seminario web gratuito hoy en https://trading-ia.net"
spam-empleo-076,empleo_cripto,spam,"Puesto disponible de asistente virtual para gestión de correos electrónicos. No se requiere titulación. 25€ por hora. Envía CV a https://seleccion-empleo.org"
spam-empleo-077,empleo_cripto,spam,"Aprende a generar ingresos recurrentes con el comercio electrónico sin inversión inicial. Descarga la guía gratuita en https://negocios-digitales.info"
spam-empleo-078,empleo_cripto,spam,"Oportunidad laboral: Se necesitan choferes y repartidores para entregas locales con furgoneta de empresa. Inscríbete en https://empleo-reparto-express.es"
spam-empleo-079,empleo_cripto,spam,"Multiplica tus ahorros con nuestra plataforma de minería en la nube con rentabilidad del 15% mensual garantizada. Accede a https://cloud-mining-rentable.com"
spam-empleo-080,empleo_cripto,spam,"Gana dinero viendo vídeos promocionales de YouTube y TikTok desde tu smartphone. Registro gratuito inmediato en https://videos-remunerados.site"
spam-suscripcion-081,suscripciones_premium,spam,"Tu suscripción semanal al servicio VIP de Horóscopo y Tarot ha sido renovada por 3,99€/semana. Para cancelar envía BAJA al 795550."
spam-suscripcion-082,suscripciones_premium,spam,"Bienvenido al Club de Juegos Móviles Arcade. Se ha cargado una cuota de 4,50€ en tu factura telefónica. Para darse de baja envía BAJA al 2277."
spam-suscripcion-083,suscripciones_premium,spam,"Descarga los mejores tonos de llamada polifónicos y fondos de pantalla en HD para tu móvil. Envía TONO al 25600. Coste: 1,45€/sms."
spam-suscripcion-084,suscripciones_premium,spam,"Tu suscripción a Alertas Deportivas Premium ha sido activada correctamente. Cuota diaria 0,90€. Si deseas cancelar el servicio responde STOP al 21770."
spam-suscripcion-085,suscripciones_premium,spam,"Descubre qué te depara el futuro en el amor y el dinero este mes. Consulta personalizada con videntes expertas enviando FUTURO al 27880."
spam-suscripcion-086,suscripciones_premium,spam,"Tu pase de acceso ilimitado a vídeos divertidos y virales está activo por 2,99€/semana. Envía CANCELAR al 798800 para no renovar."
spam-suscripcion-087,suscripciones_premium,spam,"Servicio de trucos y guías para videojuegos móviles suscrito con éxito. Para gestionar tu cuenta o tramitar la baja entra en https://club-gaming-baja.com"
spam-suscripcion-088,suscripciones_premium,spam,"Recibe diariamente frases motivacionales y consejos de superación personal por 1,20€ a la semana. Para anular envía NO al 23450."
spam-suscripcion-089,suscripciones_premium,spam,"Tu paquete de 50 stickers animados y emojis exclusivos para WhatsApp está listo para descargar. Envía STICKER al 25990."
spam-suscripcion-090,suscripciones_premium,spam,"Suscripción al servicio meteorológico premium con alertas de tormentas en tiempo real activada. Envía BAJA METEO al 790011 para desactivar."
spam-citas-091,citas_adultos,spam,"Tienes 3 mensajes privados nuevos y 2 fotos esperando de personas solteras cerca de tu ubicación. Entra a verlos en https://citas-locales.club"
spam-citas-092,citas_adultos,spam,"Laura (a 1,5 km de ti) te ha enviado una solicitud para chatear. Conéctate ahora y responde antes de que caduque en https://contactos-directos.net"
spam-citas-093,citas_adultos,spam,"La mayor comunidad de citas discretas para adultos en España. Registro gratis para hombres mayores de 25 años en https://pasion-citas.top"
spam-citas-094,citas_adultos,spam,"Una persona de tu ciudad quiere conocerte esta noche. Descubre de quién se trata entrando en https://encuentros-secretos.site"
spam-citas-095,citas_adultos,spam,"Mensaje de chat entrante: 'Hola guapo, ¿estás libre hoy para tomar algo?'. Para leer el mensaje completo y responder haz clic en https://mensajes-citas.info"
spam-salud-096,salud_suplementos,spam,"Pierde hasta 8 kilos en 3 semanas sin dietas estrictas ni ejercicio gracias a las nuevas gotas cetogénicas naturales. Pídelas en https://salud-keto.com"
spam-salud-097,salud_suplementos,spam,"Elimina los dolores articulares y regenera el cartílago de forma 100% natural con la fórmula suiza avanzada. Ver testimonios en https://articulaciones-salud.net"
spam-salud-098,salud_suplementos,spam,"Tratamiento revolucionario contra la caída del cabello: Recupera densidad y frena la alopecia en 30 días. Oferta de lanzamiento en https://pelo-fuerte.org"
spam-salud-099,salud_suplementos,spam,"Duerme profundamente toda la noche y reduce el estrés con las gomitas de melatonina y CBD más vendidas. Consigue tu 2x1 en https://descanso-natural.site"
spam-salud-100,salud_suplementos,spam,"Fórmula potenciadora masculina 100% natural sin receta médica. Máximo vigor y energía garantizados. Envío discreto en 24h desde https://vigor-masculino.top"
