id,category,sender,expected_verdict,scam_type,lure,message
scam-bank-021,banca,BBVA,estafa,smishing,fraudulent_charge,"BBVA: Pago de 485,00 EUR aprobado en Mediamarkt. Si no es su compra, cancele de inmediato introduciendo sus credenciales en https://bbva-anulacion.site/pago"
scam-bank-022,banca,Santander,estafa,smishing,dni_update,"Santander: Actualice su DNI escaneado para desbloquear la recepcion de transferencias Bizum en https://santander-bizum.top/actualizar"
scam-bank-023,banca,Unicaja,estafa,smishing,international_transfer,"Unicaja: Alerta de transferencia internacional por 950 EUR. Confirme o anule antes de 30 minutos en https://unicaja-alertas.online/operacion"
scam-bank-024,banca,Kutxabank,estafa,smishing,fake_malware_alert,"Kutxabank: Hemos detectado malware en su aplicacion de banca movil. Ingrese a la web segura para limpiar sus credenciales: https://kutxabank-limpieza.xyz/acceso"
scam-bank-025,banca,Bankinter,estafa,smishing,credit_limit,"Bankinter: Su limite de credito ha sido modificado sin autorizacion. Verifique sus datos personales en https://bankinter-limites.top/login para restablecerlo."
scam-paqueteria-026,paqueteria,CORREOS,estafa,smishing,customs_fee,"Correos: Su paquete ES8948201 no puede entregarse debido al impago de tasas aduaneras (1,79 EUR). Realice el pago antes de 24h en https://correos-tasas.top/pago"
scam-paqueteria-027,paqueteria,SEUR,estafa,smishing,address_update,"SEUR: Entrega fallida por direccion incorrecta o incompleta. Actualice los datos de su domicilio para entrega manana: https://seur-paquetes.xyz/entrega"
scam-paqueteria-028,paqueteria,DHL,estafa,smishing,package_hold,"DHL Express: Su envio se encuentra retenido en el centro logistico de Madrid. Abone los gastos de gestion (2,45 EUR) en https://dhl-aduanas.site/liberar"
scam-paqueteria-029,paqueteria,CorreosExpress,estafa,smishing,reschedule,"Correos Express: El repartidor intento la entrega de su pedido hoy sin exito. Reprograme la entrega o sera devuelto al remitente: https://correosexpress-reparto.top/cita"
scam-paqueteria-030,paqueteria,GLS,estafa,smishing,postal_code,"GLS Spain: Su paquete con referencia GLS-99042 precisa confirmacion de codigo postal para salida a reparto en https://gls-seguimiento.online/paquete"
scam-paqueteria-031,paqueteria,MRW,estafa,smishing,import_duty,"MRW: Paquete urgente pendiente de entrega. Hay un arancel de importacion de 0,99 EUR pendiente. Pague con tarjeta en https://mrw-pagos.xyz/arancel"
scam-paqueteria-032,paqueteria,CORREOS,estafa,smishing,package_destruction,"Correos: Falta el numero de piso y puerta en su paquete. Su envio sera destruido en 48 horas si no actualiza los datos en https://correos-domicilio.top/modificar"
scam-paqueteria-033,paqueteria,FedEx,estafa,smishing,customs_hold,"FedEx: Su envio internacional esta bloqueado por aranceles aduaneros pendientes de 3,50 EUR. Liquide la deuda en https://fedex-espana.icu/aranceles"
scam-paqueteria-034,paqueteria,SEUR,estafa,smishing,delivery_confirmation,"SEUR Alerta: El remitente solicita la confirmacion del receptor para la entrega del paquete valioso. Ingrese sus datos en https://seur-confirmacion.top/entrega"
scam-paqueteria-035,paqueteria,DHL,estafa,smishing,pickup_label,"DHL: Su paquete esta listo en el punto de recogida. Descargue la etiqueta con codigo de barras para retirarlo: https://dhl-recogida.xyz/etiqueta"
scam-paqueteria-036,paqueteria,Correos,estafa,smishing,eco_tax,"Correos: Paquete certificado con origen extranjero retenido. Pague las tasas ecologicas de 1,15 EUR en https://correos-tasas-eco.online/pagar"
scam-paqueteria-037,paqueteria,GLS,estafa,smishing,parcel_shop,"GLS: Imposible entregar su pedido. Haga clic en https://gls-reparto-urgente.site/modificar para seleccionar punto de recogida cercano antes de devolver a origen."
scam-paqueteria-038,paqueteria,MRW,estafa,smishing,weight_difference,"MRW: Error en el peso declarado de su envio. Debe abonar la diferencia de 2,10 EUR para continuar el reparto en https://mrw-pesaje.top/pago"
scam-paqueteria-039,paqueteria,SEUR,estafa,smishing,unauthorized_redirect,"SEUR: Se ha reprogramado su envio por orden del destinatario. Si no fue usted, cancele el desvio en https://seur-desvios.online/cancelar"
scam-paqueteria-040,paqueteria,CORREOS,estafa,smishing,last_notice,"Correos: Ultimo recordatorio para la entrega de su paquete antes del retorno definitivo al remitente. Actualice direccion en https://correos-ultimoaviso.xyz/actualizar"
scam-administracion-041,administracion_publica,DGT,estafa,smishing,traffic_fine,"DGT: Dispone de 24 horas para abonar su sancion por exceso de velocidad con 50% de reduccion (45,00 EUR). Pague con tarjeta en https://dgt-multas-sede.top/pago"
scam-administracion-042,administracion_publica,AEAT,estafa,smishing,tax_refund,"Agencia Tributaria: Se ha ordenado la devolucion de 469,80 EUR correspondiente a su declaracion del IRPF. Solicite el ingreso en https://agenciatributaria-devolucion.xyz/reembolso"
scam-administracion-043,administracion_publica,Seg-Social,estafa,smishing,health_card,"Seguridad Social: Su nueva Tarjeta Sanitaria Europea digital esta disponible. Actualice sus datos de afiliacion para recibirla en https://seguridadsocial-tarjeta.site/renovar"
scam-administracion-044,administracion_publica,InfoDGT,estafa,smishing,fine_garnishment,"DGT: Ultimo aviso antes de proceder al embargo de cuentas por infraccion de trafico no resuelta. Consulte expediente en https://dgt-expedientes.online/consulta"
scam-administracion-045,administracion_publica,AgTributaria,estafa,smishing,tax_audit,"Agencia Tributaria: Detectada diferencia no declarada en sus ingresos. Evite sancion tributaria del 150% regularizando sus datos en https://aeat-expediente-sancion.top/declaracion"
scam-administracion-046,administracion_publica,TGSS,estafa,smishing,social_benefit,"TGSS: Tiene pendiente de cobro una prestacion por incapacidad temporal de 320,50 EUR. Confirme su numero de cuenta en https://tgss-prestaciones.xyz/cobro"
scam-administracion-047,administracion_publica,DGT,estafa,smishing,points_loss,"DGT Notificaciones: Notificacion electronica de perdida de 4 puntos del carnet de conducir. Presente alegaciones en https://dgt-alegaciones.online/puntos"
scam-administracion-048,administracion_publica,AEAT,estafa,smishing,tax_refund,"AEAT: Devolucion extraordinaria de impuestos aprobada por 380,00 EUR. Rellene el formulario de abono en cuenta bancaria en https://aeat-abonos.site/ingreso"
scam-administracion-049,administracion_publica,Seg-Social,estafa,smishing,benefit_suspension,"Seguridad Social: Su subsidio ha sido suspendido por falta de documentacion identificativa. Adjunte su DNI y tarjeta bancaria en https://seg-social-subsidios.top/actualizar"
scam-administracion-050,administracion_publica,DGT,estafa,smishing,itv_fine,"DGT Multas: Expediente sancionador por ITV caducada. Abone la tasa reducida antes de medianoche en https://dgt-itv-multas.xyz/sancion"
scam-administracion-051,administracion_publica,MinisterioJusticia,estafa,smishing,court_summons,"Ministerio de Justicia: Ha sido citado en calidad de testigo ante el juzgado de instruccion. Descargue su citacion judicial en https://justicia-citaciones.online/expediente"
scam-administracion-052,administracion_publica,AgTributaria,estafa,smishing,iban_correction,"Agencia Tributaria: Reembolso fiscal denegado por error en IBAN. Introduzca las 24 cifras correctas en https://agenciatributaria-iban.top/corregir"
scam-administracion-053,administracion_publica,DGT,estafa,smishing,license_suspension,"DGT: Se le ha retirado cautelarmente la autorizacion para conducir. Verifique el motivo y recurra en https://dgt-retirada-carnet.icu/recurso"
scam-administracion-054,administracion_publica,PoliciaNacional,estafa,smishing,fake_police,"Policia Nacional: Se ha detectado uso fraudulento de su DNI electronico. Comparezca o valide su identidad en https://policia-identidad-online.site/verificar"
scam-administracion-055,administracion_publica,Seg-Social,estafa,smishing,contribution_refund,"Seguridad Social: Reembolso de cotizaciones excesivas por importe de 215 EUR. Solicite transferencia inmediata en https://seguridadsocial-reintegro.top/pago"
scam-hijo-056,hijo_en_apuros,+34 655 443 322,estafa,hijo_en_apuros,broken_phone,"Hola mama, se me ha caido el movil al agua y se ha roto. Este es mi numero temporal nuevo de mi amigo. Escribeme un WhatsApp urgente a este numero por favor."
scam-hijo-057,hijo_en_apuros,+34 689 123 456,estafa,hijo_en_apuros,emergency_rent,"Papa hola, se me ha roto el telefono y tengo este numero provisional. Tengo que pagar una factura super urgente del alquiler antes de las 14h, escribeme por WhatsApp ya."
scam-hijo-058,hijo_en_apuros,+34 611 009 988,estafa,hijo_en_apuros,university_tuition,"Mama soy yo, he perdido mi movil y no puedo entrar a mi banco para pagar la matricula de la universidad. Mandame un mensaje por WhatsApp a este numero que es el unico que tengo."
scam-hijo-059,hijo_en_apuros,+34 677 889 900,estafa,hijo_en_apuros,urgent_favor,"Hola papa, mi movil no funciona bien y no me llegan las llamadas. Guardate este nuevo numero y hablame por WhatsApp que necesito que me hagas un favor urgente por favor."
scam-hijo-060,hijo_en_apuros,+34 600 334 455,estafa,hijo_en_apuros,stolen_phone,"Mama, me han robado el bolso y el movil. Estoy con la policia usando el telefono de una chica. Escribeme por WhatsApp a este numero urgente para bloquear mis tarjetas."
scam-hijo-061,hijo_en_apuros,+34 644 556 677,estafa,hijo_en_apuros,new_number,"Hola mama!! He cambiado de numero de movil porque el otro se me rompio. Mandame un WhatsApp aqui rapido que tengo que pedirte una cosa muy importante."
scam-hijo-062,hijo_en_apuros,+34 622 778 899,estafa,hijo_en_apuros,car_breakdown,"Papa, estoy en el taller con el coche y no tengo saldo en la tarjeta para pagar la reparacion. Escribeme por WhatsApp a este numero temporal para decirte la cuenta."
scam-hijo-063,hijo_en_apuros,+34 699 112 233,estafa,hijo_en_apuros,temporary_sim,"Hola mami, he tenido un problema con mi telefono y he comprado esta SIM temporal. Por favor hablame por WhatsApp cuanto antes que estoy muy agobiado."
scam-hijo-064,hijo_en_apuros,+34 666 445 566,estafa,hijo_en_apuros,stranded,"Papa hola, se me ha apagado el movil y no enciende. Estoy en la estacion, escribeme por WhatsApp a este numero para ver como vuelvo a casa."
scam-hijo-065,hijo_en_apuros,+34 633 998 811,estafa,hijo_en_apuros,speaker_broken,"Hola mama soy tu hijo, este es mi nuevo WhatsApp. No me llames que tengo el altavoz roto, solo escribeme mensajes que necesito ayuda urgente con un pago."
scam-otp-066,robo_otp_bizum,+34 612 001 122,estafa,credential_theft,otp_theft,"Seguridad Bancaria: Hemos detectado un cargo no reconocido de 780 EUR en tarjeta. Para cancelarlo inmediatamente, responda a este mensaje facilitando el codigo SMS que acaba de recibir."
scam-otp-067,robo_otp_bizum,CaixaBank,estafa,credential_theft,otp_theft,"CaixaBank: Intento de transferencia de 650 EUR en curso. Si no la ha realizado usted, comparta el codigo de 6 digitos enviado a su telefono para bloquear la emision."
scam-otp-068,robo_otp_bizum,Bizum,estafa,smishing,fake_bizum_receive,"BIZUM: Ha recibido un pago de 250,00 EUR por devolucion de compra. Para autorizar el cobro en su cuenta introduzca su clave PIN en https://bizum-abonos.xyz/aceptar"
scam-otp-069,robo_otp_bizum,Santander,estafa,credential_theft,otp_theft,"Santander Seguridad: Su clave de firma digital va a ser modificada. Si no ha sido usted, introduzca el codigo OTP recibido por SMS en https://santander-seguridad-otp.top/cancelar"
scam-otp-070,robo_otp_bizum,+34 655 112 233,estafa,credential_theft,otp_theft,"Atencion al cliente: Para validar el reembolso de 120 EUR de su factura electrica, indiquenos por SMS el codigo de verificacion que le acabamos de remitir."
scam-otp-071,robo_otp_bizum,Bizum,estafa,smishing,bizum_reverse_charge,"Bizum Notificaciones: Tiene una solicitud de pago pendiente por 180,00 EUR. Para rechazar el cargo y evitar el cobro ingrese su PIN de banca en https://bizum-cancelar.top/rechazo"
scam-otp-072,robo_otp_bizum,BBVA,estafa,credential_theft,otp_theft,"BBVA: Se ha solicitado el cambio de numero de telefono de su banca online. Introduzca la clave SMS recibida para anular la solicitud de cambio en https://bbva-anula-cambio.xyz/otp"
scam-otp-073,robo_otp_bizum,Sabadell,estafa,credential_theft,otp_theft,"Banco Sabadell: Para confirmar el bloqueo de su tarjeta sustraida y recibir el reembolso de 500 EUR, facilite su clave SMS respondiendo a este mensaje."
scam-otp-074,robo_otp_bizum,Bizum,estafa,smishing,bizum_scam,"Bizum: Se ha recibido una peticion de dinero de 400 EUR. Pulse en https://bizum-pagos-seguros.online/validar e introduzca su clave de acceso para autorizar el cobro."
scam-otp-075,robo_otp_bizum,ING,estafa,credential_theft,otp_theft,"ING: Operacion de 900 EUR retenida. Para revocar el cargo de forma inmediata comparta ahora el codigo OTP de seguridad con nuestro gestor respondiendo a este SMS."
scam-remoto-076,soporte_acceso_remoto,Microsoft,estafa,remote_access,fake_virus_support,"Soporte Tecnico Microsoft: Su equipo con Windows 11 presenta una infeccion critica por troyano bancario. Instale AnyDesk inmediatamente para que un agente limpie su equipo."
scam-remoto-077,soporte_acceso_remoto,SoporteTecnico,estafa,remote_access,network_error,"Servicio Tecnico Oficial: Detectado fallo critico de seguridad en su conexion a internet. Descargue TeamViewer para que el tecnico pueda solucionar el problema de red."
scam-remoto-078,soporte_acceso_remoto,+34 688 112 334,estafa,remote_access,bank_malware,"Alerta de seguridad: Su banca online ha sido bloqueada por virus en su dispositivo. Instale RustDesk para conectar con el departamento antifraude y desbloquear la cuenta."
scam-remoto-079,soporte_acceso_remoto,SoporteWindows,estafa,remote_access,password_theft,"Microsoft Windows Security: Se ha detectado intento de robo de contraseñas. Permita control remoto mediante Supremo para bloquear la intrusion en tiempo real."
scam-remoto-080,soporte_acceso_remoto,Ciberseguridad,estafa,remote_access,fake_cert,"INCIBE Alerta: Dispositivo infectado por software espia. Para desinfectar su telefono o PC instale la aplicacion AnyDesk y comparta su ID con el operador."
scam-remoto-081,soporte_acceso_remoto,GoogleSecurity,estafa,remote_access,google_account,"Google Security Alert: Su cuenta de Google ha sido comprometida. Instale TeamViewer QuickSupport para que un tecnico verifique la integridad de sus sesiones."
scam-remoto-082,soporte_acceso_remoto,SoporteTecnico,estafa,remote_access,router_vulnerability,"Atencion tecnica: Su router presenta vulnerabilidad critica explotada desde el exterior. Descargue la app AnyDesk para que el especialista aplique el parche de seguridad."
scam-remoto-083,soporte_acceso_remoto,AntivirusSupport,estafa,remote_access,antivirus_expired,"Alerta Antivirus: Su suscripcion ha caducado y se han detectado 5 amenazas graves. Instale RustDesk para conectar con asistencia tecnica y eliminar el malware."
scam-remoto-084,soporte_acceso_remoto,SoporteBancario,estafa,remote_access,screen_share_refund,"Dpto Antifraude: Para revocar una transferencia fraudulenta en curso debe compartir pantalla con nuestro operador instalando AnyDesk ahora mismo."
scam-remoto-085,soporte_acceso_remoto,Microsoft,estafa,remote_access,license_lock,"Centro de Soporte: Bloqueo inminente de su licencia de Windows por actividad sospechosa. Descargue TeamViewer para verificacion tecnica remota."
scam-suministros-086,suministros_telco,Endesa,estafa,smishing,power_cut,"Endesa: Factura devuelta por importe de 142,50 EUR. Procederemos al corte de suministro electrico en 48 horas si no realiza el pago en https://endesa-clientes-pago.top/factura"
scam-suministros-087,suministros_telco,Iberdrola,estafa,smishing,power_cut,"Iberdrola Clientes: Se ha emitido orden de suspension de luz por impago del recibo 08/2026. Pague online con tarjeta de credito en https://iberdrola-pagos-facturas.xyz/pagar"
scam-suministros-088,suministros_telco,Naturgy,estafa,smishing,gas_refund,"Naturgy: Tiene pendiente de cobro una devolucion de 89,30 EUR por reajuste de tarifas de gas. Confirme sus datos de abono en https://naturgy-reembolsos.site/abono"
scam-suministros-089,suministros_telco,Movistar,estafa,smishing,line_suspension,"Movistar: Su linea movil sera suspendida temporalmente por recibo rechazado. Evite el corte de linea abonando 38,90 EUR en https://movistar-facturacion.top/pagos"
scam-suministros-090,suministros_telco,Vodafone,estafa,smishing,service_cut,"Vodafone: Aviso urgente de suspension de servicio de fibra y movil. Pague su factura pendiente antes de las 18:00 en https://vodafone-clientes-pagos.online/factura"
scam-suministros-091,suministros_telco,Orange,estafa,smishing,bill_refund,"Orange: Hemos detectado un cobro indebido en su ultima factura. Solicite el reembolso directo de 45,00 EUR a su tarjeta en https://orange-devoluciones.xyz/reembolso"
scam-suministros-092,suministros_telco,Endesa,estafa,smishing,meter_refund,"Endesa Energia: Reembolso de 115,00 EUR pendiente tras revision del contador digital. Solicite el ingreso en cuenta en https://endesa-reembolso-luz.site/cobro"
scam-suministros-093,suministros_telco,Iberdrola,estafa,smishing,power_cut,"Iberdrola: Aviso de corte de suministro programado para manana a las 09:00. Para anular la orden de corte pague en https://iberdrola-suspension.top/anular"
scam-suministros-094,suministros_telco,Movistar,estafa,smishing,unauthorized_portability,"Movistar: Se ha solicitado la portabilidad de todas sus lineas fijas y moviles a otro operador. Si no fue usted cancele en https://movistar-cancelar-portabilidad.xyz/cancelar"
scam-suministros-095,suministros_telco,Vodafone,estafa,smishing,contract_termination,"Vodafone: Actualizacion obligatoria de datos fiscales del titular para evitar la baja del contrato. Verifique en https://vodafone-titular.online/verificar"
scam-quishing-096,quishing_cripto,BinanceAlerts,estafa,smishing,crypto_withdrawal,"Binance: Retiro no autorizado de 1.500 USDT solicitado desde IP desconocida. Para congelar la transaccion escanee el codigo QR o acceda a https://binance-seguridad-retiro.top/bloquear"
scam-quishing-097,quishing_cripto,MetaMask,estafa,credential_theft,seed_phrase,"MetaMask: Su billetera descentralizada sera desactivada por falta de actualizacion del protocolo KYC. Valide sus 12 palabras clave en https://metamask-kyc-validator.xyz/wallet"
scam-quishing-098,quishing_cripto,CryptoCom,estafa,smishing,crypto_email_change,"Crypto.com: Se ha detectado intento de cambio de correo electronico en su cuenta. Revoque el cambio verificando sus credenciales en https://crypto-seguridad-cuenta.site/reclamar"
scam-quishing-099,quishing_cripto,Coinbase,estafa,smishing,mica_compliance,"Coinbase: Su cuenta ha sido bloqueada temporalmente conforme a la directiva europea MiCA. Desbloquee verificando sus claves en https://coinbase-verificacion-eu.top/acceso"
scam-quishing-100,quishing_cripto,Ledger,estafa,credential_theft,hardware_wallet,"Ledger Security: Vulnerabilidad critica en su dispositivo hardware. Actualice inmediatamente su firmware introduciendo su frase de recuperacion en https://ledger-firmware-update.online/security"
