id,category,sender,expected_verdict,lure,message
legit-administracion-045,administracion_publica,SaludMadrid,no_puedo_confirmarlo,medical_appointment,"SERMAS: Le recordamos su cita medica con Dermatologia en Hospital La Paz el 15/09/2026 a las 10:00. Acuda 10 minutos antes a la consulta 204."
legit-administracion-046,administracion_publica,CatSalut,no_puedo_confirmarlo,medical_appointment_regional,"CatSalut: Recordatori de cita programada a CAP Maragall el dia 04/09 a les 16:20 amb el seu metge de familia. Si no pot assistir truqui al 061."
legit-administracion-047,administracion_publica,Clave,no_puedo_confirmarlo,clave_pin,"Cl@ve PIN: Tu codigo PIN es 8492. Valido durante 10 minutos para realizar tramites en sedes oficiales de la Administracion General del Estado."
legit-administracion-048,administracion_publica,TGSS,no_puedo_confirmarlo,labor_life,"Seguridad Social: Se ha registrado el alta del trabajador en el Regimen General con fecha de efectos 01/09/2026. Informe de vida laboral disponible en sede oficial https://sede.seg-social.gob.es"
legit-administracion-049,administracion_publica,SEPE,no_puedo_confirmarlo,sepe_appointment,"SEPE: Cita para solicitud de prestaciones reconocida para el 10/09 a las 11:00 en oficina de empleo de Getafe. Cita telefonica: le llamaremos a este numero."
legit-administracion-050,administracion_publica,AytoMadrid,no_puedo_confirmarlo,city_hall_appointment,"Ayuntamiento de Madrid: Confirmada su cita previa para Padron Municipal el dia 05/09 a las 09:15 en OAC Chamberi. Lleve documento identificativo original."
legit-administracion-051,administracion_publica,DGT,no_puedo_confirmarlo,eco_sticker,"DGT: Su distintivo ambiental 0 Emisiones para el vehiculo con matricula 8492KLP ha sido emitido y esta en transito postal."
legit-administracion-052,administracion_publica,AEAT,no_puedo_confirmarlo,official_tax_notice,"Agencia Tributaria: Se le informa del abono de la devolucion tributaria acordada correspondiente al ejercicio fiscal. Consulte su estado en https://sede.agenciatributaria.gob.es"
legit-administracion-053,administracion_publica,SASalud,no_puedo_confirmarlo,blood_test_appointment,"Servicio Andaluz de Salud: Cita para analitica de sangre el 08/09 a las 08:15 en su Centro de Salud. En ayunas de 8 horas."
legit-administracion-054,administracion_publica,Ministerio,no_puedo_confirmarlo,scholarship,"Ministerio de Educacion: Concesion provisional de Beca de Estudios curso 2026/2027. Consulte resolucion con su certificado en sede oficial https://sede.educacion.gob.es"
legit-administracion-055,administracion_publica,INE,no_puedo_confirmarlo,ine_survey,"INE: Gracias por colaborar en la Encuesta Continua de Hogares. Su cuestionario ha sido registrado satisfactoriamente."
legit-familia-056,familia_cotidiano,+34 612 998 877,no_puedo_confirmarlo,real_new_phone,"Hola mama, se me ha roto el movil y este es mi numero nuevo provisional que me ha dejado Lucas. Te escribo por aqui para que lo tengas guardado."
legit-familia-057,familia_cotidiano,+34 689 334 455,no_puedo_confirmarlo,dinner_plan,"Papa, llego a casa a las 20:30 de la biblioteca. Cenamos juntos hoy?"
legit-familia-058,familia_cotidiano,+34 655 221 100,no_puedo_confirmarlo,grocery_request,"Hola carino, puedes comprar pan y leche al volver del trabajo? Yo salgo mas tarde de la oficina."
legit-familia-059,familia_cotidiano,+34 600 778 899,no_puedo_confirmarlo,travel_checkin,"Mama ya he aterrizado en Roma, todo el viaje genial y el hotel esta muy bien. Manana os llamo por videollamada. Un beso!"
legit-familia-060,familia_cotidiano,+34 677 112 233,no_puedo_confirmarlo,keys_dropped,"Hola tio, te he dejado las llaves del coche en el buzon como me dijiste. Que tengas buen fin de semana!"
legit-familia-061,familia_cotidiano,+34 644 889 900,no_puedo_confirmarlo,friends_movie,"Buenas! Quedamos al final manana a las 18h en la puerta del cine para sacar las entradas?"
legit-familia-062,familia_cotidiano,+34 633 445 566,no_puedo_confirmarlo,soccer_match,"Papa, el partido de futbol del sabado se ha cambiado a las 11:00 en vez de las 10:00 en el polideportivo."
legit-familia-063,familia_cotidiano,+34 622 001 122,no_puedo_confirmarlo,study_session,"Hola mama, me quedo a comer en casa de Marta a estudiar para el examen de biologia. Llego sobre las 18h."
legit-familia-064,familia_cotidiano,+34 699 556 677,no_puedo_confirmarlo,birthday_wish,"Felicidades abuelo!! Que pases un gran dia de cumpleanos con toda la familia. El domingo vamos a comer a tu casa!"
legit-familia-065,familia_cotidiano,+34 666 778 899,no_puedo_confirmarlo,kids_pickup,"Hola papa, ya he recogido a los ninos del colegio y estamos en el parque merendando. Nos vemos en casa."
legit-seguridad-066,seguridad_2fa,Google,no_puedo_confirmarlo,google_2fa,"G-849201 es tu codigo de verificacion de Google. No lo compartas con nadie por motivos de seguridad."
legit-seguridad-067,seguridad_2fa,Microsoft,no_puedo_confirmarlo,microsoft_2fa,"Usa 492018 como codigo de seguridad para la cuenta Microsoft. No facilites este codigo a terceros."
legit-seguridad-068,seguridad_2fa,Apple,no_puedo_confirmarlo,apple_2fa,"Tu codigo de verificacion de Apple ID es: 719402. No lo compartas con nadie."
legit-seguridad-069,seguridad_2fa,WhatsApp,no_puedo_confirmarlo,whatsapp_2fa,"Tu codigo de verificacion de WhatsApp: 394-201. No compartas este codigo con nadie."
legit-seguridad-070,seguridad_2fa,Telegram,no_puedo_confirmarlo,telegram_2fa,"Telegram code: 84920. You can also tap on this link to log in: https://t.me"
legit-seguridad-071,seguridad_2fa,Amazon,no_puedo_confirmarlo,amazon_otp,"948201 es tu contraseña temporal de un solo uso (OTP) de Amazon. No la compartas con nadie."
legit-seguridad-072,seguridad_2fa,Twitter,no_puedo_confirmarlo,twitter_2fa,"Tu codigo de confirmacion de X (Twitter) es 482910. Valido por 10 minutos."
legit-seguridad-073,seguridad_2fa,Instagram,no_puedo_confirmarlo,instagram_2fa,"Codigo de seguridad de Instagram: 819 402. Introduce este codigo para verificar tu cuenta."
legit-seguridad-074,seguridad_2fa,Uber,no_puedo_confirmarlo,uber_otp,"Tu codigo de verificacion de Uber es 3920. Nunca compartas este codigo con nadie."
legit-seguridad-075,seguridad_2fa,PayPal,no_puedo_confirmarlo,paypal_otp,"PayPal: Tu codigo de seguridad es 849201. Caduca en 10 minutos. No compartas este codigo con nadie."
legit-suministros-076,suministros_telco,Iberdrola,no_puedo_confirmarlo,power_bill,"Iberdrola: Ya esta disponible tu factura de electricidad del periodo 15/07 al 15/08 por importe de 54,20 EUR en https://www.iberdrola.es o en la app de clientes."
legit-suministros-077,suministros_telco,Endesa,no_puedo_confirmarlo,endesa_bill,"Endesa Clientes: Te informamos de que tu factura con numero ES90284 por 48,10 EUR sera cargada en cuenta el 28/08. Consulta el detalle en https://www.endesaclientes.com"
legit-suministros-078,suministros_telco,Naturgy,no_puedo_confirmarlo,gas_reading,"Naturgy: Tu lectura real de contador de gas ha sido registrada: 4820 m3. Gracias por mantener tu lectura al dia."
legit-suministros-079,suministros_telco,Movistar,no_puedo_confirmarlo,data_usage,"Movistar: Has consumido el 80% de los datos de tu tarifa movil este mes. Puedes gestionar bonos adicionales en la app Mi Movistar o en https://www.movistar.es"
legit-suministros-080,suministros_telco,Vodafone,no_puedo_confirmarlo,maintenance_notice,"Vodafone: Te informamos de que realizaremos trabajos nocturnos de mejora en la red de fibra de tu zona el 25/08 de 02:00 a 05:00. Disculpa las molestias."
legit-suministros-081,suministros_telco,Orange,no_puedo_confirmarlo,plan_change,"Orange: Confirmamos el cambio de tarifa solicitado. Tu nuevo plan Love entra en vigor el proximo ciclo de facturacion. Gestiona tu linea en https://www.orange.es"
legit-suministros-082,suministros_telco,Digi,no_puedo_confirmarlo,digi_bill,"DIGI: Tu factura de agosto por importe de 20,00 EUR ya esta emitida. Puedes descargarla en formato PDF desde el area de clientes https://www.digimobil.es"
legit-suministros-083,suministros_telco,Yoigo,no_puedo_confirmarlo,technician_appointment,"Yoigo: Recuerda que manana a las 16:00 vendra el instalador de fibra a tu domicilio. Si necesitas modificar la cita llama gratis al 622."
legit-suministros-084,suministros_telco,CanalIsabelII,no_puedo_confirmarlo,water_bill,"Canal de Isabel II: Se ha emitido su factura bimestral de agua por importe de 32,80 EUR con fecha de cargo 05/09."
legit-suministros-085,suministros_telco,TotalEnergies,no_puedo_confirmarlo,boiler_service,"TotalEnergies: Confirmamos la recepcion de tu solicitud de mantenimiento anual de caldera. Un tecnico contactara contigo para concertar fecha."
legit-retail-086,comercio_retail,Zara,no_puedo_confirmarlo,store_pickup,"Zara: Tu pedido 12345678 ya esta listo para recoger en la tienda Zara de Gran Via 34. Dispones de 15 dias mostrando tu ticket electronico."
legit-retail-087,comercio_retail,ElCorteIngles,no_puedo_confirmarlo,online_order_shipped,"El Corte Ingles: Tu compra online 9948201 ha sido preparada y enviada. Recibiras tu pedido en la direccion indicada en 24/48 horas."
legit-retail-088,comercio_retail,Mercadona,no_puedo_confirmarlo,grocery_slot,"Mercadona: Confirmacion de tu compra online. Tu pedido sera entregado el 25/08 en el tramo de 11:00 a 12:00. Consulta el albaran en la app."
legit-retail-089,comercio_retail,Decathlon,no_puedo_confirmarlo,locker_pickup,"Decathlon: Tu servicio de Click&Collect ya esta disponible en Decathlon Castellana. Codigo de taquilla: 4829."
legit-retail-090,comercio_retail,IKEA,no_puedo_confirmarlo,furniture_delivery,"IKEA: Tu pedido de muebles 892014 sera entregado manana entre las 09:00 y las 14:00. Asegurate de que haya alguien en el domicilio."
legit-retail-091,comercio_retail,MediaMarkt,no_puedo_confirmarlo,receipt,"MediaMarkt: Tu factura simplificada de compra esta disponible en tu cuenta. Gracias por comprar en MediaMarkt."
legit-retail-092,comercio_retail,MAPFRE,no_puedo_confirmarlo,policy_renewal,"MAPFRE: Tu poliza de hogar numero 948201 se renovara el proximo 1 de septiembre. Para consultar tu recibo accede a tu area de cliente en https://www.mapfre.es"
legit-retail-093,comercio_retail,Sanitas,no_puedo_confirmarlo,medical_authorization,"Sanitas: Recordatorio de tu autorizacion medica para prueba diagnostica aprobada con exito. Valida durante 6 meses."
legit-retail-094,comercio_retail,ClinicaBaviera,no_puedo_confirmarlo,clinic_reminder,"Clinica Baviera: Le recordamos su revision oftalmologica anual manana a las 17:30. Si necesita cambiar la hora llame al 900180100."
legit-retail-095,comercio_retail,Amazon,no_puedo_confirmarlo,amazon_delivered,"Amazon: Tu paquete con el libro solicitado ha sido entregado en la direccion indicada. Gracias por comprar en Amazon.es"
legit-transporte-096,transporte_viajes,Renfe,no_puedo_confirmarlo,train_ticket,"Renfe: Tu tren AVE Madrid-Sevilla sale manana 25/08 a las 08:15 desde Puerta de Atocha. Coche 4, Plaza 6B. Billete en https://www.renfe.com"
legit-transporte-097,transporte_viajes,Iberia,no_puedo_confirmarlo,flight_checkin,"Iberia: Check-in online abierto para tu vuelo IB3842 Madrid-Londres de manana. Obtén tu tarjeta de embarque en https://www.iberia.com"
legit-transporte-098,transporte_viajes,Cabify,no_puedo_confirmarlo,ride_arrival,"Cabify: Tu conductor Manuel con Toyota Prius (1234KLP) esta llegando al punto de recogida. Tiempo estimado: 2 minutos."
legit-transporte-099,transporte_viajes,Alsa,no_puedo_confirmarlo,bus_ticket,"Alsa: Billete confirmado para la ruta Madrid-Valencia del 29/08 a las 10:00. Darsena 15 en Estacion Sur de Autobuses."
legit-transporte-100,transporte_viajes,Vueling,no_puedo_confirmarlo,gate_info,"Vueling: Informacion sobre tu vuelo VY1820 de hoy: embarque por puerta B22 a las 18:45. Buen vuelo."
